Timestamp,Timestamp (ESP32)
2025-10-10 00:00:04,2025-10-10 00:00:03
2025-10-10 00:00:09,2025-10-10 00:00:09
2025-10-10 00:00:14,2025-10-10 00:00:14
2025-10-10 00:00:19,2025-10-10 00:00:19
2025-10-10 00:00:24,2025-10-10 00:00:24
2025-10-10 00:00:29,2025-10-10 00:00:29
2025-10-10 00:00:34,2025-10-10 00:00:34
2025-10-10 00:00:39,2025-10-10 00:00:39
2025-10-10 00:00:44,2025-10-10 00:00:44
2025-10-10 00:00:49,2025-10-10 00:00:49
2025-10-10 00:00:54,2025-10-10 00:00:54
2025-10-10 00:01:00,2025-10-10 00:00:59
2025-10-10 00:01:05,2025-10-10 00:01:05
2025-10-10 00:01:10,2025-10-10 00:01:10
2025-10-10 00:01:15,2025-10-10 00:01:15
2025-10-10 00:01:20,2025-10-10 00:01:20
2025-10-10 00:01:25,2025-10-10 00:01:25
2025-10-10 00:01:30,2025-10-10 00:01:30
2025-10-10 00:01:35,2025-10-10 00:01:35
2025-10-10 00:01:40,2025-10-10 00:01:40
2025-10-10 00:01:45,2025-10-10 00:01:45
2025-10-10 00:01:50,2025-10-10 00:01:50
2025-10-10 00:01:56,2025-10-10 00:01:55
2025-10-10 00:02:01,2025-10-10 00:02:01
2025-10-10 00:02:06,2025-10-10 00:02:06
2025-10-10 00:02:11,2025-10-10 00:02:11
2025-10-10 00:02:16,2025-10-10 00:02:16
2025-10-10 00:02:21,2025-10-10 00:02:21
2025-10-10 00:02:26,2025-10-10 00:02:26
2025-10-10 00:02:31,2025-10-10 00:02:31
2025-10-10 00:02:36,2025-10-10 00:02:36
2025-10-10 00:02:41,2025-10-10 00:02:41
2025-10-10 00:02:46,2025-10-10 00:02:46
2025-10-10 00:02:52,2025-10-10 00:02:51
2025-10-10 00:02:57,2025-10-10 00:02:57
2025-10-10 00:03:02,2025-10-10 00:03:02
2025-10-10 00:03:07,2025-10-10 00:03:07
2025-10-10 00:03:12,2025-10-10 00:03:12
2025-10-10 00:03:17,2025-10-10 00:03:17
2025-10-10 00:03:22,2025-10-10 00:03:22
2025-10-10 00:03:27,2025-10-10 00:03:27
2025-10-10 00:03:32,2025-10-10 00:03:32
2025-10-10 00:03:37,2025-10-10 00:03:37
2025-10-10 00:03:42,2025-10-10 00:03:42
2025-10-10 00:03:48,2025-10-10 00:03:47
2025-10-10 00:03:53,2025-10-10 00:03:52
2025-10-10 00:03:58,2025-10-10 00:03:58
2025-10-10 00:04:03,2025-10-10 00:04:03
2025-10-10 00:04:08,2025-10-10 00:04:08
2025-10-10 00:04:13,2025-10-10 00:04:13
2025-10-10 00:04:18,2025-10-10 00:04:18
2025-10-10 00:04:23,2025-10-10 00:04:23
2025-10-10 00:04:28,2025-10-10 00:04:28
2025-10-10 00:04:33,2025-10-10 00:04:33
2025-10-10 00:04:38,2025-10-10 00:04:38
2025-10-10 00:04:44,2025-10-10 00:04:43
2025-10-10 00:04:49,2025-10-10 00:04:48
2025-10-10 00:04:54,2025-10-10 00:04:54
2025-10-10 00:04:59,2025-10-10 00:04:59
2025-10-10 00:05:04,2025-10-10 00:05:04
2025-10-10 00:05:09,2025-10-10 00:05:09
2025-10-10 00:05:14,2025-10-10 00:05:14
2025-10-10 00:05:19,2025-10-10 00:05:19
2025-10-10 00:05:24,2025-10-10 00:05:24
2025-10-10 00:05:29,2025-10-10 00:05:29
2025-10-10 00:05:34,2025-10-10 00:05:34
2025-10-10 00:05:40,2025-10-10 00:05:39
2025-10-10 00:05:45,2025-10-10 00:05:44
2025-10-10 00:05:50,2025-10-10 00:05:50
2025-10-10 00:05:55,2025-10-10 00:05:55
2025-10-10 00:06:00,2025-10-10 00:06:00
2025-10-10 00:06:05,2025-10-10 00:06:05
2025-10-10 00:06:10,2025-10-10 00:06:10
2025-10-10 00:06:15,2025-10-10 00:06:15
2025-10-10 00:06:20,2025-10-10 00:06:20
2025-10-10 00:06:25,2025-10-10 00:06:25
